Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,PSH,PSD,PSA,BbMxH,BbMxD,BbMxA,BbAvH,BbAvD,BbAvA,Bb1X2,Season
I1,2014-09-29,Udinese,Parma,4.0,2.0,H,12.0,18.0,5.0,6.0,8.0,11.0,6.0,4.0,2.0,0.0,0.0,1.0,2.2,3.2,3.4,2.29,3.38,3.49,2.33,3.4,3.6,2.21,3.23,3.39,43.0,2014/2015
I1,2014-10-04,Milan,Chievo,2.0,0.0,H,22.0,10.0,4.0,2.0,10.0,25.0,9.0,2.0,2.0,5.0,0.0,0.0,1.4,4.75,7.0,1.43,4.59,9.75,1.44,5.0,10.14,1.41,4.41,8.44,44.0,2014/2015
I1,2014-10-04,Verona,Cagliari,1.0,0.0,H,13.0,19.0,5.0,7.0,13.0,17.0,5.0,11.0,1.0,3.0,0.0,0.0,2.0,3.3,3.75,2.11,3.47,3.88,2.15,3.52,3.87,2.07,3.37,3.61,44.0,2014/2015
I1,2014-10-05,Lazio,Sassuolo,3.0,2.0,H,13.0,12.0,9.0,6.0,22.0,12.0,4.0,1.0,2.0,1.0,1.0,1.0,1.5,4.0,7.0,1.51,4.3,8.07,1.53,4.6,8.5,1.48,4.11,7.24,42.0,2014/2015
I1,2014-10-05,Fiorentina,Inter Milan,3.0,0.0,H,15.0,14.0,8.0,4.0,12.0,17.0,2.0,5.0,2.0,3.0,0.0,0.0,2.38,3.3,2.9,2.46,3.32,3.21,2.5,3.4,3.21,2.41,3.26,2.99,43.0,2014/2015
I1,2014-10-05,Juventus,Roma,3.0,2.0,H,20.0,8.0,5.0,2.0,14.0,15.0,5.0,5.0,4.0,3.0,1.0,1.0,1.8,3.5,4.5,1.92,3.51,4.7,1.96,3.6,4.75,1.88,3.43,4.33,43.0,2014/2015
I1,2014-10-05,Empoli,Palermo,3.0,0.0,H,20.0,7.0,11.0,2.0,18.0,25.0,12.0,4.0,0.0,4.0,0.0,0.0,2.38,3.2,3.0,2.36,3.19,3.54,2.45,3.3,3.54,2.34,3.17,3.18,43.0,2014/2015
I1,2014-10-05,Udinese,Cesena,1.0,1.0,D,14.0,7.0,3.0,5.0,10.0,12.0,7.0,1.0,3.0,3.0,0.0,0.0,1.45,4.2,7.5,1.52,4.05,8.62,1.55,4.2,8.62,1.5,3.89,7.52,43.0,2014/2015
I1,2014-10-05,Parma,Genoa,1.0,2.0,A,12.0,13.0,3.0,5.0,26.0,12.0,6.0,3.0,2.0,2.0,0.0,1.0,1.91,3.4,4.0,1.92,3.45,4.8,1.95,3.75,4.74,1.89,3.41,4.27,43.0,2014/2015
I1,2014-10-05,Sampdoria,Atalanta,1.0,0.0,H,16.0,8.0,3.0,1.0,19.0,14.0,3.0,4.0,3.0,3.0,0.0,0.0,1.83,3.4,4.5,1.93,3.51,4.62,1.95,3.51,5.1,1.88,3.33,4.41,43.0,2014/2015
