Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,PSH,PSD,PSA,BbMxH,BbMxD,BbMxA,BbAvH,BbAvD,BbAvA,Bb1X2,Season
D1,2014-09-27,Schalke 04,Dortmund,2,1,H,11,17,6,5,15,15,3,9,1,1,0,0,3.4,3.6,2.05,3.68,3.83,2.05,3.8,3.9,2.2,3.6,3.6,2.01,46.0,2014/2015
D1,2014-09-27,Stuttgart,Hannover,1,0,H,12,12,6,4,16,16,8,1,3,2,0,0,1.95,3.5,3.6,2.08,3.67,3.74,2.2,3.75,3.86,2.05,3.49,3.57,46.0,2014/2015
D1,2014-09-27,Wolfsburg,Werder Bremen,2,1,H,18,8,8,3,11,12,8,5,0,0,0,0,1.5,4.33,6.0,1.52,4.71,6.64,1.56,4.7,6.9,1.52,4.3,6.12,45.0,2014/2015
D1,2014-09-28,Augsburg,Hertha,1,0,H,8,10,3,3,18,20,3,9,2,4,0,0,2.05,3.5,3.4,2.04,3.57,3.99,2.1,3.6,4.05,2.03,3.43,3.69,46.0,2014/2015
D1,2014-09-28,Hamburg,Ein Frankfurt,1,2,A,14,7,6,4,21,18,8,3,2,2,0,0,2.05,3.5,3.4,2.24,3.67,3.32,2.28,3.62,3.6,2.17,3.47,3.27,46.0,2014/2015
D1,2014-10-03,Hertha,Stuttgart,3,2,H,12,9,9,2,18,15,3,7,2,2,0,0,2.25,3.4,3.1,2.29,3.42,3.43,2.4,3.5,3.6,2.25,3.33,3.26,44.0,2014/2015
D1,2014-10-04,Bayern Munich,Hannover,4,0,H,23,6,9,3,4,11,11,1,0,0,0,0,1.13,8.5,17.0,1.15,10.0,21.3,1.17,10.06,25.0,1.14,8.02,19.7,43.0,2014/2015
D1,2014-10-04,Dortmund,Hamburg,0,1,A,17,10,3,5,10,19,8,4,2,4,0,0,1.33,5.25,8.0,1.37,5.58,9.12,1.38,5.6,9.16,1.35,5.05,8.44,44.0,2014/2015
D1,2014-10-04,Ein Frankfurt,FC Koln,3,2,H,19,12,8,7,10,15,6,2,1,1,0,0,2.3,3.2,3.2,2.42,3.34,3.25,2.45,3.4,3.25,2.33,3.3,3.07,44.0,2014/2015
D1,2014-10-04,Hoffenheim,Schalke 04,2,1,H,20,13,8,3,18,16,5,3,3,4,0,1,2.3,3.6,2.88,2.32,3.74,3.11,2.4,3.74,3.15,2.3,3.49,2.98,44.0,2014/2015
D1,2014-10-04,Leverkusen,Paderborn,2,2,D,21,8,10,5,25,18,9,2,3,3,0,1,1.33,5.25,8.0,1.35,5.65,9.93,1.4,5.65,9.93,1.34,5.14,8.72,44.0,2014/2015
D1,2014-10-04,Werder Bremen,Freiburg,1,1,D,18,7,7,3,13,14,10,5,0,1,0,0,2.38,3.4,2.88,2.39,3.58,3.1,2.44,3.6,3.2,2.34,3.41,2.97,44.0,2014/2015
D1,2014-10-05,M'gladbach,Mainz,1,1,D,18,8,10,2,12,12,2,3,0,3,0,0,1.85,3.6,4.0,1.85,3.77,4.64,1.91,3.85,4.54,1.86,3.59,4.16,42.0,2014/2015
D1,2014-10-05,Wolfsburg,Augsburg,1,0,H,15,7,4,1,15,13,4,1,0,2,0,0,1.7,3.8,4.75,1.79,3.85,4.93,1.81,3.9,5.2,1.74,3.73,4.7,43.0,2014/2015
D1,2014-10-18,FC Koln,Dortmund,2,1,H,5,16,2,3,11,14,3,6,1,3,0,0,5.0,4.0,1.62,6.11,4.24,1.61,6.05,4.25,1.67,5.5,3.92,1.62,45.0,2014/2015
D1,2014-10-18,Stuttgart,Leverkusen,3,3,D,13,17,6,6,14,19,6,7,3,2,0,0,3.4,3.5,2.05,3.67,3.68,2.1,3.75,3.7,2.2,3.51,3.5,2.06,45.0,2014/2015
D1,2014-10-18,Hannover,M'gladbach,0,3,A,11,10,4,4,15,16,7,2,1,1,0,0,3.1,3.4,2.25,3.26,3.53,2.32,3.35,3.6,2.5,3.1,3.37,2.3,44.0,2014/2015
D1,2014-10-18,Bayern Munich,Werder Bremen,6,0,H,19,0,6,0,10,12,10,0,0,1,0,0,1.1,11.0,17.0,1.12,11.7,25.0,1.13,13.0,32.0,1.1,10.24,22.93,45.0,2014/2015
