Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,PSH,PSD,PSA,BbMxH,BbMxD,BbMxA,BbAvH,BbAvD,BbAvA,Bb1X2,Season
F1,2014-09-13,Reims,Toulouse,2.0,0.0,H,6.0,14.0,3.0,1.0,14.0,14.0,3.0,5.0,0.0,0.0,0.0,0.0,2.88,3.3,2.4,3.16,3.13,2.57,3.2,3.3,2.63,2.94,3.14,2.49,46.0,2014/2015
F1,2014-09-13,Rennes,Paris Saint-Germain,1.0,1.0,D,5.0,8.0,2.0,5.0,11.0,5.0,1.0,2.0,1.0,1.0,0.0,0.0,7.0,4.0,1.5,7.28,4.37,1.52,7.65,4.43,1.53,6.96,4.15,1.48,46.0,2014/2015
F1,2014-09-13,Saint-Etienne,Caen,1.0,0.0,H,12.0,5.0,3.0,1.0,8.0,13.0,6.0,2.0,0.0,2.0,0.0,0.0,1.65,3.6,5.5,1.68,3.79,6.01,1.74,3.8,6.1,1.66,3.66,5.44,46.0,2014/2015
F1,2014-09-14,Evian Thonon Gaillard,Marseille,1.0,3.0,A,10.0,6.0,1.0,4.0,13.0,11.0,5.0,3.0,1.0,0.0,0.0,0.0,3.8,3.1,2.1,3.8,3.32,2.17,3.8,3.35,2.26,3.5,3.22,2.16,46.0,2014/2015
F1,2014-09-14,Guingamp,Bordeaux,2.0,1.0,H,11.0,7.0,6.0,2.0,14.0,10.0,2.0,4.0,0.0,2.0,0.0,0.0,2.75,2.88,2.8,2.85,3.04,2.9,2.89,3.2,2.92,2.73,2.98,2.79,46.0,2014/2015
F1,2014-09-14,Lille,Nantes,2.0,0.0,H,13.0,10.0,5.0,3.0,18.0,21.0,5.0,5.0,2.0,1.0,0.0,0.0,1.73,3.4,5.25,1.79,3.43,5.77,1.8,3.55,6.1,1.74,3.37,5.34,46.0,2014/2015
F1,2014-09-19,Bordeaux,Evian Thonon Gaillard,2.0,1.0,H,7.0,8.0,2.0,2.0,12.0,16.0,4.0,7.0,0.0,2.0,0.0,0.0,1.53,3.8,6.5,1.56,4.2,7.2,1.58,4.2,7.7,1.54,3.91,6.7,46.0,2014/2015
F1,2014-09-20,Metz,Bastia,3.0,1.0,H,19.0,10.0,9.0,1.0,12.0,12.0,4.0,4.0,1.0,2.0,0.0,0.0,2.2,3.2,3.4,2.18,3.17,3.99,2.26,3.3,3.99,2.18,3.15,3.53,45.0,2014/2015
F1,2014-09-20,Marseille,Rennes,3.0,0.0,H,16.0,13.0,7.0,5.0,16.0,22.0,7.0,5.0,1.0,1.0,0.0,0.0,1.57,3.75,6.0,1.6,3.99,6.7,1.7,4.0,6.7,1.62,3.72,5.85,46.0,2014/2015
F1,2014-09-20,Toulouse,Caen,3.0,3.0,D,23.0,12.0,7.0,5.0,10.0,15.0,4.0,6.0,2.0,3.0,0.0,0.0,2.25,3.1,3.4,2.35,3.05,3.64,2.41,3.3,3.7,2.28,3.07,3.41,45.0,2014/2015
F1,2014-09-20,Nantes,Nice,2.0,1.0,H,19.0,4.0,4.0,2.0,14.0,11.0,10.0,4.0,0.0,1.0,0.0,0.0,1.83,3.25,4.75,1.84,3.41,5.32,1.92,3.5,5.32,1.85,3.34,4.6,45.0,2014/2015
F1,2014-09-20,Lorient,Reims,0.0,1.0,A,6.0,7.0,0.0,3.0,9.0,15.0,3.0,1.0,1.0,2.0,0.0,0.0,1.75,3.4,5.0,1.76,3.61,5.51,1.86,3.7,5.6,1.76,3.47,4.95,45.0,2014/2015
F1,2014-09-21,Lens,Saint-Etienne,0.0,1.0,A,9.0,15.0,4.0,3.0,15.0,13.0,5.0,7.0,2.0,2.0,0.0,0.0,3.4,3.25,2.15,3.83,3.12,2.26,4.0,3.3,2.4,3.49,3.14,2.2,44.0,2014/2015
F1,2014-09-21,Lille,Montpellier,0.0,0.0,D,13.0,5.0,2.0,0.0,15.0,10.0,7.0,4.0,0.0,0.0,0.0,0.0,1.8,3.4,4.75,1.81,3.36,5.66,1.86,3.6,5.66,1.78,3.3,5.03,44.0,2014/2015
F1,2014-09-21,Monaco,Guingamp,1.0,0.0,H,19.0,3.0,7.0,2.0,15.0,17.0,6.0,2.0,3.0,2.0,0.0,0.0,1.57,3.7,6.5,1.58,3.97,7.08,1.68,4.0,7.08,1.6,3.71,6.06,44.0,2014/2015
F1,2014-09-21,Paris Saint-Germain,Lyon,1.0,1.0,D,12.0,9.0,3.0,5.0,13.0,17.0,4.0,2.0,3.0,1.0,0.0,0.0,1.33,5.0,9.0,1.32,5.64,11.46,1.38,5.64,12.0,1.32,5.0,9.99,44.0,2014/2015
F1,2014-09-23,Reims,Marseille,0.0,5.0,A,10.0,21.0,3.0,11.0,17.0,14.0,3.0,6.0,1.0,1.0,0.0,0.0,4.0,3.3,1.95,4.38,3.34,2.03,4.5,3.4,2.06,4.05,3.28,1.98,44.0,2014/2015
F1,2014-09-23,Rennes,Toulouse,0.0,3.0,A,16.0,9.0,4.0,5.0,14.0,10.0,6.0,7.0,3.0,3.0,0.0,0.0,2.25,3.25,3.25,2.36,3.37,3.34,2.43,3.37,3.5,2.28,3.24,3.22,44.0,2014/2015
F1,2014-09-24,Guingamp,Metz,0.0,1.0,A,12.0,9.0,1.0,4.0,10.0,29.0,7.0,8.0,1.0,2.0,0.0,1.0,2.05,3.3,3.6,2.15,3.16,4.1,2.21,3.3,4.2,2.07,3.17,3.83,44.0,2014/2015
F1,2014-09-24,Evian Thonon Gaillard,Lens,2.0,1.0,H,14.0,9.0,3.0,4.0,7.0,16.0,4.0,2.0,0.0,0.0,0.0,0.0,2.1,3.25,3.6,2.15,3.36,3.75,2.31,3.38,3.75,2.17,3.25,3.42,44.0,2014/2015
F1,2014-09-24,Bastia,Nantes,0.0,0.0,D,4.0,14.0,0.0,2.0,11.0,17.0,4.0,6.0,2.0,2.0,1.0,0.0,2.4,3.2,3.0,2.41,3.21,3.35,2.47,3.25,3.5,2.33,3.13,3.22,44.0,2014/2015
F1,2014-09-24,Montpellier,Monaco,0.0,1.0,A,9.0,13.0,3.0,7.0,9.0,15.0,4.0,4.0,1.0,1.0,0.0,0.0,3.0,3.2,2.38,3.26,3.23,2.48,3.33,3.35,2.51,3.08,3.18,2.38,44.0,2014/2015
F1,2014-09-24,Nice,Lille,1.0,0.0,H,9.0,6.0,3.0,3.0,15.0,16.0,11.0,2.0,1.0,1.0,0.0,0.0,3.6,3.2,2.1,4.01,3.21,2.16,4.01,3.3,2.25,3.65,3.14,2.14,44.0,2014/2015
F1,2014-09-24,Lyon,Lorient,4.0,0.0,H,14.0,13.0,9.0,2.0,7.0,12.0,5.0,7.0,0.0,1.0,0.0,0.0,1.73,3.4,5.25,1.73,3.71,5.72,1.81,3.71,5.8,1.72,3.52,5.18,43.0,2014/2015
F1,2014-09-24,Caen,Paris Saint-Germain,0.0,2.0,A,14.0,16.0,3.0,8.0,7.0,8.0,2.0,3.0,0.0,0.0,0.0,0.0,6.5,4.2,1.5,7.29,4.38,1.52,7.5,4.55,1.55,6.66,4.14,1.5,44.0,2014/2015
F1,2014-09-25,Saint-Etienne,Bordeaux,1.0,1.0,D,22.0,3.0,7.0,2.0,18.0,19.0,11.0,1.0,1.0,3.0,0.0,0.0,2.05,3.3,3.6,2.07,3.34,4.1,2.21,3.36,4.09,2.08,3.25,3.69,44.0,2014/2015
F1,2014-09-27,Montpellier,Guingamp,2.0,1.0,H,9.0,11.0,5.0,6.0,14.0,21.0,5.0,4.0,0.0,3.0,0.0,1.0,2.0,3.2,4.0,2.01,3.3,4.47,2.07,3.4,4.55,1.96,3.25,4.16,46.0,2014/2015
F1,2014-09-27,Toulouse,Paris Saint-Germain,1.0,1.0,D,11.0,8.0,5.0,2.0,23.0,16.0,4.0,5.0,0.0,3.0,0.0,0.0,5.25,3.6,1.67,5.41,3.8,1.74,6.0,3.8,1.8,5.14,3.63,1.7,46.0,2014/2015
F1,2014-09-27,Lille,Bastia,1.0,0.0,H,19.0,8.0,7.0,2.0,10.0,20.0,5.0,1.0,3.0,3.0,0.0,0.0,1.53,3.8,6.5,1.57,3.85,7.76,1.63,4.0,7.76,1.57,3.67,6.71,46.0,2014/2015
F1,2014-09-27,Lorient,Evian Thonon Gaillard,0.0,2.0,A,16.0,5.0,4.0,3.0,12.0,13.0,9.0,3.0,1.0,2.0,1.0,0.0,1.85,3.4,4.33,1.99,3.4,4.38,2.01,3.6,4.7,1.94,3.35,4.1,46.0,2014/2015
F1,2014-09-27,Metz,Reims,3.0,0.0,H,17.0,4.0,9.0,1.0,14.0,10.0,4.0,3.0,0.0,1.0,0.0,2.0,2.0,3.2,4.0,2.01,3.38,4.31,2.21,3.4,4.33,2.01,3.26,3.96,43.0,2014/2015
F1,2014-09-27,Monaco,Nice,0.0,1.0,A,8.0,8.0,1.0,2.0,13.0,23.0,5.0,2.0,2.0,4.0,0.0,0.0,1.5,4.0,7.0,1.51,4.1,8.32,1.65,4.2,8.32,1.51,3.95,6.97,46.0,2014/2015
F1,2014-09-28,Lens,Caen,0.0,0.0,D,9.0,13.0,2.0,2.0,8.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,2.8,3.2,2.5,2.95,3.23,2.66,2.98,3.3,2.76,2.79,3.14,2.61,46.0,2014/2015
F1,2014-09-28,Bordeaux,Rennes,2.0,1.0,H,14.0,12.0,4.0,6.0,8.0,8.0,3.0,3.0,1.0,1.0,0.0,0.0,1.73,3.5,5.0,1.75,3.78,5.31,1.81,3.8,5.6,1.75,3.57,4.82,44.0,2014/2015
F1,2014-09-28,Nantes,Lyon,1.0,1.0,D,14.0,10.0,4.0,5.0,13.0,9.0,5.0,3.0,2.0,1.0,0.0,0.0,2.75,3.1,2.63,2.75,3.18,2.88,2.9,3.3,2.9,2.71,3.09,2.73,46.0,2014/2015
F1,2014-09-28,Marseille,Saint-Etienne,2.0,1.0,H,14.0,11.0,8.0,5.0,8.0,12.0,6.0,1.0,1.0,2.0,0.0,0.0,1.85,3.5,4.2,1.86,3.59,4.78,1.92,3.8,4.89,1.83,3.51,4.38,43.0,2014/2015
F1,2014-10-03,Reims,Bordeaux,1.0,0.0,H,7.0,12.0,0.0,3.0,16.0,10.0,6.0,4.0,2.0,2.0,0.0,0.0,3.8,3.2,2.05,3.97,3.3,2.15,4.05,3.4,2.2,3.65,3.24,2.09,44.0,2014/2015
F1,2014-10-04,Bastia,Lorient,0.0,2.0,A,6.0,14.0,3.0,6.0,17.0,15.0,3.0,3.0,1.0,2.0,0.0,0.0,2.15,3.1,3.6,2.23,3.19,3.78,2.32,3.3,3.78,2.17,3.18,3.48,44.0,2014/2015
F1,2014-10-04,Caen,Marseille,1.0,2.0,A,11.0,22.0,4.0,9.0,10.0,11.0,4.0,9.0,0.0,1.0,0.0,0.0,4.0,3.3,1.95,4.02,3.37,2.08,4.05,3.46,2.1,3.74,3.3,2.03,44.0,2014/2015
F1,2014-10-04,Evian Thonon Gaillard,Metz,3.0,0.0,H,8.0,8.0,2.0,3.0,22.0,24.0,2.0,3.0,1.0,5.0,0.0,0.0,2.38,3.1,3.1,2.35,3.2,3.48,2.42,3.3,3.5,2.31,3.13,3.22,42.0,2014/2015
F1,2014-10-04,Nice,Montpellier,1.0,1.0,D,10.0,7.0,2.0,2.0,13.0,16.0,4.0,3.0,1.0,3.0,0.0,0.0,2.3,3.1,3.2,2.49,3.19,3.23,2.52,3.27,3.3,2.4,3.11,3.09,44.0,2014/2015
F1,2014-10-04,Rennes,Lens,2.0,0.0,H,16.0,8.0,7.0,1.0,9.0,7.0,6.0,7.0,1.0,1.0,0.0,0.0,1.83,3.4,4.5,1.87,3.51,4.87,1.92,3.51,4.9,1.84,3.4,4.46,44.0,2014/2015
F1,2014-10-05,Guingamp,Nantes,0.0,1.0,A,16.0,12.0,4.0,3.0,9.0,16.0,6.0,5.0,1.0,3.0,0.0,0.0,2.5,3.0,3.0,2.73,3.01,3.07,2.74,3.1,3.13,2.58,2.97,2.95,44.0,2014/2015
F1,2014-10-05,Lyon,Lille,3.0,0.0,H,14.0,12.0,6.0,2.0,21.0,20.0,3.0,1.0,1.0,4.0,0.0,0.0,2.1,3.1,3.8,2.16,3.24,3.96,2.25,3.3,4.0,2.11,3.16,3.68,44.0,2014/2015
F1,2014-10-05,Paris Saint-Germain,Monaco,1.0,1.0,D,7.0,15.0,2.0,5.0,11.0,17.0,2.0,7.0,3.0,2.0,0.0,0.0,1.44,4.2,7.5,1.48,4.36,8.41,1.51,4.5,8.6,1.46,4.19,7.2,44.0,2014/2015
