Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,PSH,PSD,PSA,BbMxH,BbMxD,BbMxA,BbAvH,BbAvD,BbAvA,Bb1X2,Season
SP1,2014-10-18,Levante,Real Madrid,0,5,A,11,21,1,11,13,8,6,3,4,0,0,0,13.0,7.5,1.17,18.07,7.95,1.19,19.0,7.99,1.22,15.25,7.04,1.18,46.0,2014/2015
SP1,2014-10-19,Deportivo La Coruna,Valencia,3,0,H,11,8,5,1,19,19,3,5,3,3,0,0,4.5,3.4,1.83,4.36,3.68,1.93,4.8,3.75,1.94,4.23,3.53,1.88,45.0,2014/2015
SP1,2014-10-19,Villarreal,Almeria,2,0,H,17,10,8,3,20,16,6,4,5,2,0,0,1.33,5.0,9.0,1.35,5.61,10.13,1.45,5.61,10.13,1.35,5.03,8.99,46.0,2014/2015
SP1,2014-10-19,Atletico Madrid,Espanol,2,0,H,20,7,9,1,19,19,12,1,0,0,0,0,1.33,4.75,9.5,1.37,4.96,11.2,1.37,5.2,12.0,1.34,4.74,10.29,46.0,2014/2015
SP1,2014-10-19,Elche,Sevilla,0,2,A,12,10,1,7,18,23,6,4,5,2,0,0,3.6,3.4,2.05,4.29,3.42,2.02,4.24,3.5,2.07,3.85,3.35,2.02,46.0,2014/2015
SP1,2014-10-20,Sociedad,Getafe,1,2,A,13,16,2,7,10,13,8,4,1,3,0,0,1.53,4.0,6.0,1.57,4.25,6.77,1.65,4.25,7.0,1.56,3.96,6.14,46.0,2014/2015
SP1,2014-10-24,Celta,Levante,3,0,H,13,4,4,0,14,16,7,0,0,3,0,0,1.44,4.5,6.0,1.51,4.7,6.85,1.52,4.74,8.1,1.47,4.37,7.1,45.0,2014/2015
SP1,2014-10-25,Almeria,Athletic Bilbao,0,1,A,7,6,3,1,10,14,4,8,2,1,0,0,3.3,3.25,2.2,3.52,3.52,2.21,3.79,3.55,2.4,3.48,3.35,2.15,44.0,2014/2015
SP1,2014-10-25,Cordoba,Sociedad,1,1,D,7,7,3,1,13,12,5,4,3,2,0,0,3.4,3.2,2.2,3.51,3.38,2.28,3.6,3.4,2.4,3.27,3.29,2.26,45.0,2014/2015
SP1,2014-10-25,Eibar,Granada,1,1,D,7,8,3,3,14,14,7,8,3,4,0,0,2.1,3.1,3.75,2.14,3.2,4.15,2.2,3.4,4.1,2.13,3.16,3.72,45.0,2014/2015
